event_code,version_id,description,generate,section,anchor,owl_gen,folder
A01,1,Admit a Patient,FALSE,3.2.1,kap3.html#Heading4,FALSE,Patient Administration
A01,2,Admit a Patient,FALSE,3.2.1,hl7chp3.html#Heading4,FALSE,Patient Administration
A01,3,ADT/ACK - Admit/visit notification,FALSE,3.2.1,ch3.htm#Heading4,FALSE,Patient Administration
A01,4,ADT/ACK - Admit / visit notification,FALSE,3.2.1,ch3.html#Heading4,FALSE,Patient Administration
A01,5,ADT/ACK - Admit / visit notification,FALSE,3.3.1,ch03.htm#Heading5,FALSE,Patient Administration
A01,6,ADT/ACK - Admit/visit notification,FALSE,3.3.1,ch03.html#Heading5,FALSE,Patient Administration
A01,7,ADT/ACK - Admit/visit notification,FALSE,3.3.1,ch03.html#Heading5,TRUE,Patient Administration
A01,8,ADT/ACK - Admit/visit notification,FALSE,3.3.1,ch03.html#Heading5,FALSE,Patient Administration
A01,9,ADT/ACK - Admit/visit notification,FALSE,3.3.1,ch03.html#Heading5,FALSE,
A01,32,ADT/ACK - Admit/visit notification,FALSE,,,FALSE,Patient Administration
A01,61,ADT/ACK - Admit/visit notification,FALSE,3.3.1,ch03.html#Heading5,FALSE,Patient Administration
A01,81,ADT/ACK - Admit/visit notification,FALSE,3.3.1,ch03.html#Heading5,FALSE,
A01,91,ADT/ACK - Admit/visit notification,FALSE,3.3.1,ch03.html#Heading5,FALSE,
A01,92,ADT/ACK - Admit/visit notification,FALSE,3.3.1,ch03.html#Heading5,FALSE,
A01,540,,FALSE,,,FALSE,
A02,1,Transfer a Patient,FALSE,3.2.2,kap3.html#Heading5,FALSE,Patient Administration
A02,2,Transfer a patient,FALSE,3.2.2,hl7chp3.html#Heading5,FALSE,Patient Administration
A02,3,ADT/ACK -  Transfer a patient,FALSE,3.2.2,ch3.htm#Heading5,FALSE,Patient Administration
A02,4,ADT/ACK -  Transfer a patient,FALSE,3.2.2,ch3.html#Heading5,FALSE,Patient Administration
A02,5,ADT/ACK -  Transfer a patient,FALSE,3.3.2,ch03.htm#Heading6,FALSE,Patient Administration
A02,6,ADT/ACK - Transfer a patient,FALSE,3.3.2,ch03.html#Heading6,FALSE,Patient Administration
A02,7,ADT/ACK - Transfer a patient,FALSE,3.3.2,ch03.html#Heading6,TRUE,Patient Administration
A02,8,ADT/ACK - Transfer a patient,FALSE,3.3.2,ch03.html#Heading6,FALSE,Patient Administration
A02,9,ADT/ACK - Transfer a patient,FALSE,3.3.2,ch03.html#Heading6,FALSE,
A02,32,ADT/ACK - Transfer a patient,FALSE,,,FALSE,Patient Administration
